# arch	numCUs	testVector	perfConfig (exhaustive)
gfx908:sramecc+:xnack-	120	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 64 -n 768 -k 768	64,16,8,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 24576 -n 1024 -k 1024	128,128,2,64,64,4,1,1
gfx908:sramecc+:xnack-	120	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 24576 -n 1024 -k 4096	128,128,4,64,64,4,1,1
gfx908:sramecc+:xnack-	120	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 24576 -n 4096 -k 1024	64,256,8,64,64,1,1,1
gfx908:sramecc+:xnack-	120	-t f32 -out_datatype f32 -transA false -transB false -g 64 -m 384 -n 3072 -k 1024	128,64,2,64,32,8,1,1
gfx908:sramecc+:xnack-	120	-t f32 -out_datatype f32 -transA false -transB true -g 1024 -m 384 -n 384 -k 64	64,64,8,64,16,8,1,1
gfx908:sramecc+:xnack-	120	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 1024 -n 1024 -k 1024	64,64,8,32,32,4,1,1
gfx908:sramecc+:xnack-	120	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 2048 -n 2048 -k 2048	64,128,4,32,64,4,1,1
gfx908:sramecc+:xnack-	120	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 4096 -n 4096 -k 4096	128,128,2,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f32 -out_datatype f32 -transA false -transB false -g 1 -m 8192 -n 8192 -k 8192	128,128,4,64,64,4,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 64 -m 1024 -n 384 -k 1024	128,128,8,64,64,4,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 64 -m 1024 -n 384 -k 4096	128,128,8,64,64,4,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 64 -m 2 -n 384 -k 1024	128,128,4,128,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 64 -m 3072 -n 384 -k 1024	128,128,4,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 64 -m 4096 -n 384 -k 1024	128,128,4,64,64,8,1,1
